"start","p1","n1","p2","n2","p3","n3","p4","n4","p5","n5","p6","n6","p7","n7","p8","n8","p9","n9","p10","n10","p11","n11","p12","n12","p13","n13","p14","n14","p15","n15"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/width","170"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/width","180"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/colwidth","22"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/small","yes"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/totalWidth","300"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/footer","--05-05"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/footer","Heads of state of various countries:
* Emmanuel Macron, President of France
* Ram Nath Kovind, President of India
* Donald Trump, President of the United States
----
* Moon Jae-in, President of South Korea
* Elizabeth II, Queen of the United Kingdom and the other Commonwealth realms
* Jair Bolsonaro, President of Brazil
----
* Muhammadu Buhari, President of Nigeria
* Halimah Yacob, President of Singapore
* Vladimir Putin, President of Russia"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/footer","Sir Paulias Matane  was Governor-General of Papua New Guinea from 2004 to 2010"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/footer","The Lord Tweedsmuir  was Governor General of Canada from 1935 to 1940;"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/footer","Two contemporary heads of state who are constitutional monarchs, but with no political power: King Norodom Sihamoni of Cambodia , and King Carl XVI Gustaf of Sweden ."
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/image","Donald Trump official portrait .jpg"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/image","Queen Elizabeth II in March 2015.jpg"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/image","Carlos Gustavo da Sucia .jpg"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/image","Elizabeth and Philip 1953.jpg"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/image","Emmanuel_Macron_in_2019.jpg"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/incumbent","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/image","Halimah Yacob - 2018  .jpg"
